respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08481065,0.30340925
26708,0.06116831,0.0053949635
26709,0.2678432,0.70092857
26710,0.75732076,0.88522387
26711,0.24687834,0.5746054
26712,0.86390704,0.96876055
26713,0.32734713,0.4790686
26714,0.11029035,0.16438395
26715,0.012846617,0.044408925
26716,0.16695018,0.9109941
26717,0.0039143628,0.5076362
26718,0.40400237,0.49501938
26719,0.05193912,0.9636177
26720,0.0135010835,0.2074013
26721,0.4655431,0.35411167
26722,0.14238727,0.029003358
26723,0.8092465,0.9711736
26724,0.016785072,0.8659962
26725,0.0021303967,0.02023421
26726,0.1102651,0.028115725
26727,0.37818074,0.9374925
26728,0.1867134,0.61585075
26729,0.20864506,0.8345224
26730,0.041498743,0.13319474
26731,0.009703183,0.33727825
26732,0.044552647,0.2025501
26733,0.9691056,0.96745443
26734,0.7760747,0.41788626
26735,0.062460516,0.38095155
26736,0.059485845,0.16273475
26737,0.048760835,0.046846397
26738,0.607602,0.92889106
26739,0.111768536,0.17411634
26740,0.09976308,0.023629203
26741,0.032900985,0.90356696
26742,0.08589519,0.36842
26743,0.057761855,0.48217463
26744,0.026804699,0.83241343
26745,0.016128438,0.9443939
26746,0.18363369,0.43242708
26747,0.043004602,0.13234547
26748,0.03496559,0.04278644
26749,0.12554003,0.5747575
26750,0.41388378,0.88670754
26751,0.5739184,0.8105834
26752,0.019209309,0.021811813
26753,0.26650706,0.5765052
26754,0.117068514,0.57275385
26755,0.035259172,0.29275787
26756,0.0070593115,0.029586136
26757,0.28989673,0.6440043
26758,0.5973891,0.91898406
26759,0.011714194,0.11846683
26760,0.004266893,0.15723068
26761,0.5435037,0.567181
26762,0.21311918,0.8716855
26763,0.91477746,0.93923664
26764,0.97911924,0.98560184
26765,0.004946223,0.77418506
26766,0.10561535,0.17075716
26767,0.875915,0.7108609
26768,0.0172812,0.30391097
26769,0.013381079,0.030877175
26770,0.015648628,0.63429195
26771,0.003167918,0.16091844
26772,0.0645411,0.73100126
26773,0.0050863503,0.06625595
26774,0.04965375,0.3038948
26775,0.018013148,0.65489584
26776,0.3772914,0.13333192
26777,0.06577675,0.91284287
26778,0.04661345,0.0107757095
26779,0.17815058,0.4974955
26780,0.045465857,0.95191455
26781,0.03662645,0.1420677
26782,0.041087836,0.3397022
26783,0.019331548,0.26848194
26784,0.02262186,0.88613796
26785,0.67887294,0.82052845
26786,0.028680457,0.15038878
26787,0.036694117,0.41021383
26788,0.0076316213,0.8659048
26789,0.0050844974,0.20888342
26790,0.008309631,0.21929653
26791,0.03567788,0.06388727
26792,0.035794977,0.6566382
26793,0.08966352,0.9556475
26794,0.7431186,0.8507265
26795,0.20977595,0.9472553
26796,0.012640116,0.02252928
26797,0.14355351,0.94247735
26798,0.36046523,0.11537478
26799,0.22777231,0.42469293
26800,0.04517427,0.9784681
26801,0.098285206,0.5842396
26802,0.24941795,0.28350273
26803,0.016098931,0.22975045
26804,0.039860375,0.050042637
26805,0.07482108,0.060715698
26806,0.012564115,0.9292451
26807,0.28987738,0.94901603
26808,0.017526135,0.14150356
26809,0.71897835,0.13904174
26810,0.018909445,0.32015735
26811,0.0045377426,0.0102558695
26812,0.29905877,0.958383
26813,0.6935094,0.07273875
26814,0.0081836125,0.7694354
26815,0.0008887813,0.004914858
26816,0.010430655,0.12127027
26817,0.014826286,0.36362264
26818,0.1165854,0.5060764
26819,0.026079407,0.21440387
26820,0.09557585,0.0957861
26821,0.02583429,0.5305026
26822,0.06305897,0.7014455
26823,0.04945643,0.4083523
26824,0.011453718,0.7991215
26825,0.6481899,0.84162176
26826,0.029037954,0.8332906
26827,0.0036132296,0.023005674
26828,0.085599855,0.26805338
26829,0.9030272,0.9535946
26830,0.008016778,0.91398853
26831,0.20259187,0.9567773
26832,0.01173483,0.8666051
26833,0.011390356,0.832758
26834,0.28043306,0.5582195
26835,0.31385887,0.8948176
26836,0.25116658,0.5286535
26837,0.464989,0.027547223
26838,0.10491944,0.5676104
26839,0.20057258,0.6811269
26840,0.05415692,0.014157385
26841,0.73573554,0.9198682
26842,0.06652026,0.06893717
26843,0.023978027,0.030010233
26844,0.0060659,0.25031286
26845,0.020338638,0.90039605
26846,0.016322602,0.92636085
26847,0.27764642,0.1679145
26848,0.020055888,0.5667519
26849,0.15410282,0.29676598
26850,0.6039351,0.52432144
26851,0.021336718,0.0131298015
26852,0.02167128,0.0109578045
26853,0.25927493,0.31015167
26854,0.0073461398,0.045858253
26855,0.21454653,0.95853955
26856,0.039352138,0.0069613457
26857,0.8677648,0.34807318
26858,0.06734505,0.4009456
26859,0.005991372,0.040014
26860,0.046097413,0.008773011
26861,0.09284694,0.0874636
26862,0.004268646,0.22296318
26863,0.018024571,0.39448106
26864,0.29863775,0.30513877
26865,0.040034033,0.027144937
26866,0.054007754,0.56194305
26867,0.08920427,0.21957242
26868,0.9651272,0.9860665
26869,0.0328283,0.1606197
26870,0.8106374,0.82799387
26871,0.028744455,0.0045940797
26872,0.23042218,0.54859596
26873,0.021730766,0.7004227
26874,0.15495434,0.18136992
26875,0.24822691,0.84503627
26876,0.028149271,0.01992518
26877,0.02891522,0.057441507
26878,0.17065123,0.16268174
26879,0.0021210911,0.019773848
26880,0.1831013,0.032632124
26881,0.0074925884,0.022477156
26882,0.01718857,0.02619947
26883,0.06714909,0.19218208
26884,0.19181326,0.051072568
26885,0.3689264,0.9165033
26886,0.102505386,0.8203673
26887,0.887548,0.95573646
26888,0.97289294,0.9656991
26889,0.0032020314,0.08266752
26890,0.023726532,0.26860118
26891,0.85921484,0.8489505
26892,0.03857255,0.821641
26893,0.03026684,0.30060518
26894,0.20604338,0.24333787
